content,score,label
ganti hp malah tidak bisa login padahal udah foto KTP segala di hp..suruh Datang ke kantor BRI...udah datang udah nyerahin hp nya..nyerahin KTP nya nyerahin kartu ATM nya...eh diminta buku tabungan..bilang nya mau liat data di buku tabungan...apa kalian tidak menyimpan data base gitu?sepenting apa buku tabungan dijaman era serba mbangking...CONTOH...pernah ganti kartu ATM BCA modal KTP doank...kelar...Mandiri juga begitu...eh ini Bank Konoha...macem²...kaku bener...udah tahu butab hya lupa naro,1,Negatif
kenapa uang palsu tidak bisa terdeteksi di mesin ATM sehingga saya mendapatkan uang palsu pada lembaran uang yang saya ambil di mesin ATM,2,Negatif
aplikasi lag terus gak bisa masuk ..2 kli terulang kembali,1,Negatif
permudahlah mode pembayaran.,3,Netral
transaksi mudah dan tidak ribet n cukup membantu,5,Positif
lebih bagus yang versi dulu. tidak ada hambatan. versi baru ini sedikit2 minta konfirmasi. tolonglang di oerbaiki lagi. demi kelancaran bisnis kami,2,Negatif
kenapa ya aplikasi brimo aku keluar terus,3,Netral
"Brimo g bs d buka,udh tekan 0k,ttp sj g bs d bukak,,,sngat merepotkan",1,Negatif
baik,4,Positif
ok,5,Positif
setiap notifikasi masuk dari BRImo saldo dipotong terus,1,Negatif
"kirain saya doang yang buka apk brimo ini dikasih blank, screen warna putih ditungguin lama juga ttp begitu, pas liat ulasan ternyata bukan saya doang, tolong diperbaiki ya min, ini saya mau pembayaran gabisaa, kalo udh bener nanti saya ganti bintangnya.",2,Negatif
"kadang pas dibuka apk nya hanya muncul layar putih, pdhl sinyal bagus",3,Netral
bagus👍🏻,5,Positif
"sama keluhannya white screen,n log out 😞",3,Netral
Setelah pembaruan apk nya malah sama sekali tidak bisa di buka. Hanya menampilkan layar putih. Sangat merepotkan,1,Negatif
"kak,knp 2 bulan terakhir ini setiap buka brimo selalu layar putih,aku restart tetep aja putih,endingnya aku hapus download ulang,dan bgtu trus setiap aku buka...ya kalau pas ga darurat,kalau pas darurat prosesnya lumayan makan waktu,soalnya harus verifikasi ulang baik KTP maupun wajah...knp ya kak?sedih akuutuhh..",3,Netral
mantab,5,Positif
tidak bisa dibuka,3,Netral
halo brimo. kenapa saldo ku gk masuk2 ya? di notif masuk tp saldo tetap dan tidak bertambah. gimana sih?,1,Negatif
ini aplikasi nya emng rada rada atau gimna sih masa TF ke dana ga bisa sama sekali heran tolonglah kadang juga butuh sesuatu di dana tapi uangnya di brimo semua jadi sulit mau TF kok perlu,3,Netral
"hllo bri,apakah brimo sedang mengalami kendala akhir akhir ini ,karna bri mo saya tidak bisa di buka",3,Netral
aplikasi sampah,1,Negatif
semoga aman nabung di bri,5,Positif
tidak bisa login,3,Netral
"kenapa muncul tulisan konesimu tidak baik padahal sinyal internetnya kuat, parahhhh",1,Negatif
pemakaian 7 bukan masih aman🤗,5,Positif
