content,score,Label
cepat ga ribet,5,Positif
"Kenapa pendaftar awal investasi dplk dan brifine mengisi saldo melalui Brimo pribadi tidak dapak maksuk saldo ke brifine,sehingga saya lakukan top up 2 kali sukses namun saya cek ke brifine tidak ada kenapa bisa begitu?",4,Positif
tiap buka bri mo selalu muncul layar putih tolong penjelasannha makasih,2,Negatif
bagus,5,Positif
mantap,5,Positif
sangat puas,5,Positif
hai kak saya mau login brimo saya apakah tabungan saya dibri sudah diblokir saya mau login brimo,1,Negatif
sangat membantu,5,Positif
Bagus,5,Positif
good,4,Positif
pengiriman cepat.dn saya sangat puas semoga kedepannya lebih bagus lagi.💞💞,5,Positif
alhamdulillah menyenangkan,5,Positif
mantul,5,Positif
update aplikasi tidak menyelesaikan masalah tidak bisa log in tolong tim developer aplikasinya di kasih tahu untuk beberapa perangkat hp aplikasi brimo tidak bisa log in,2,Negatif
Sangat Membantu dan memudahkan.,5,Positif
sangat memudahkan dalam bertransaksi,5,Positif
sangat membantu,5,Positif
kenapa loading brimo saya,5,Positif
sangat dimudahkan dan tidak kena biaya administrasi jika top up 😍,5,Positif
semua pembayaran jadi lebih mudah,5,Positif
sangat baik membantu sekali,5,Positif
bagus gampang di akses,5,Positif
"aman, cepat dan mudah transaksinya.",5,Positif
Sangat membantu dan praktis. Terima kasih BRImo,5,Positif
mantap,5,Positif
sat set ...bagus,5,Positif
terbaik,5,Positif
Alhamdulillah 😊 sangat membantu..,5,Positif
mempermudah transaksi dan cepat,5,Positif
memudahkan.transaksi cepat.good.,5,Positif
"kenapa tidak bisa di buka dan sangat sering terjadi,setiap mau login harus selesaikan panggilan telepon dulu padahal tidak ada panggilan.",1,Negatif
sangat menbantu utk transaksi,5,Positif
"maaf rating saya turunkan, karena aplikasi brimo bermasalah. sering error dan tidak ada perbaikan.",3,Netral
sangat puas,5,Positif
sangat aman dan terpercaya,5,Positif
bagus dengan cepat sekali aku suka pake ini mantap,5,Positif
saya ingin tarik uang 200 saya di brimo kok ngak bisa katanya rekening saya ngak masuk finansial padahal ada uang di dalam nya,1,Negatif
ok,5,Positif
sudah 2 x ini brimo bemasalah masalah ini fatal pakai verifikasi ktp sudah jelas ktp nik nya tertera dengan jelas kebanyakan aiue mending pindah sebelah aja gak guna,1,Negatif
sangat puas dan membantu,5,Positif
mudah semuanya,5,Positif
mudah dan bisah buat apa aja,5,Positif
Sangat membantu dlm transaksi keuangan,5,Positif
Mantap,5,Positif
sangat membantu dan budah.saya sangat berterimakasih atas adanya aplikasi brimo ini🙏,5,Positif
aplikasi yang sangat bermanfaat,5,Positif
mantep,5,Positif
cepat respon,5,Positif
good,4,Positif
aplikasi mantap,5,Positif
Setiap hari ada potongan 750/sms.. sedangkan sehari ada 4 sms. Meskipun gak seberapa kalo setiap hari ya saldo terus berkurang. sampai sekarang masih suka keluar uang sendiri😡,1,Negatif
sangat baik,5,Positif
sangat bermanfaat untuk transfer,5,Positif
bermanfaat,5,Positif
sangat bagus,5,Positif
jempol,5,Positif
cepat baik fi gunakan,3,Netral
"SALDO SERING DI POTONG Rp. 1.500,- Driketerangan potonganbiya sms kenomor anda... PADAHAL SMS TIDAK ADA MASUK KENOMOR HP.. Dlm sebulan bisa smpe 5 ato 10 kali....Dasar BRI tak pernah becus lg2 BUMN Berhati-hatilah menggunakan aplikasi satu ini,,,Bijaksanalah !!!!",1,Negatif
semoga bermanfaat jg byk kemajuan dlm transaksi,5,Positif
bagus,5,Positif
oke,5,Positif
bagus,5,Positif
bagus,5,Positif
halo kak.di aplikasi brimo setiap kali bukak layar putih terus setelah update ini tadi saya Cuba hapus data di suruh verifikasi untuk masuk akun tapi setelah keluar masuk lagi layarnya putih lagi. tolong untuk aplikasi brinya bisa diperbaiki lagi.,2,Negatif
sangat membantu 🙏,4,Positif
memuaskan,5,Positif
sangat membantu dan mudah,5,Positif
"jadi mempermudah segalanya, smoga makin sukses BRI",5,Positif
sekian kalinya brimo cuma muncul layar putih yg harus bikin saya kesulitan dalam transaksi. gimana dongg!,1,Negatif
IS THE BEST👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,Positif
👌🏻👍🏻🙏🏻,5,Positif
cok kok gw kenak tipuan sama Bri-OTP kata Bri-OTP kodenya:384290 udah aku buat tapi gak bisa katanya tidak tipuan,1,Negatif
hanya kuberi bintang 1 karena apl brimo selalu eror tiap hari dan harus instal ulang terus,1,Negatif
"brimo sangat membantu d saat mau tf ataupun kegiatan lanya,brimo mantaf",4,Positif
sangat membantu dan oke banget.,5,Positif
mantap,5,Positif
mempermudah dlm pembelian apapun terutama jarak jauh,5,Positif
Sangat baik,5,Positif
"pelayanannya baik bagus ramah , ketat , dan penuh verifikasi terimakasih brimo",5,
mantap,5,
jossss,5,
"memberikan kemudahan dalam transaksi, dengan cepat",5,
sangat memudahkn,5,
sangat membantu dlm transaksi,5,
semakin terdepan,5,
bagus,5,
kereen,5,
user friendly,5,
Sangat berguna,5,
"tiap hari harus di uninstal karena gak bisa dibuka, Download lagi baru bisa dibuka",1,
bagus sekali,5,
bagus,4,
ok,5,
bagus,5,
good,5,
sangat baik,5,
mantap,5,
praktis,5,
hallo kakak brimo saya sering kali terblokir hanya kali ini tidak dapat login,5,
bagusss,5,
