user,rating,review,date
Gerry Doank,5,memudahkan segala dari segalanya,2026-03-02 19:20:09
Adakah Iya,5,bqgus,2026-03-02 19:19:32
Mira Jelita,5,"bagus,, sangat membantu",2026-03-02 19:14:43
Noer Sobak,5,Bagus Sekali,2026-03-02 19:14:09
Meyu Kece,5,alhamdulillah jdi kebantu karna aplikasi ini semoga aman trs yaa,2026-03-02 19:10:30
ikiboy soares,1,"mohon di perbaiki sistemnya kenapa kalo, kami yg dari negara lain hanya gunakan kartu debit aja untuk gunakan apk brimo harus gunakan KTP padahal pas dftar pake paspor,jadi kamu hanya gunakan uang cash pake uang digital untuk Qris tidak karena tidak memiliki KTP alasan bukan warga disini",2026-03-02 19:08:14
Reno Ardy,5,mantap,2026-03-02 19:06:21
Anggraita Sakti amuroso,5,joss.. brimo mantap,2026-03-02 19:03:03
Ummu Altaf77,5,akhirnya bisa aktif lagi BRImo ku. Fiturnya makin lengkap ternyata.. mantap,2026-03-02 19:02:26
tegar perdiansah,4,kerenn,2026-03-02 19:01:43
Moh Hadi,5,sangat membantu,2026-03-02 18:58:28
Heri Yanto,3,login tidak bisa aja padahal sudah instal yamg baru,2026-03-02 18:56:07
Heryadi,1,ngaco sumpah aplikasi nya masa saya udh verifikasi masukin data udh masuk eh ke logout lagi verifikasi ulang lagi parah sumpah ngaco banget aneh bgt apk,2026-03-02 18:55:25
RIZKI ARI PRADANA PURBA,5,mantap,2026-03-02 18:48:37
Reychan ubai,5,baguss,2026-03-02 18:46:19
Jahur Huri,5,mantap,2026-03-02 18:41:47
Ronal Rigen,5,sangat bagus sekali,2026-03-02 18:38:02
Desi Gusrini,1,paling buruk pelayanan .nelpon call center buat keluhan cuma ngabisin pulsa di angkat kaga.keadaan genting kita mana sempet laporan ke cabang bri .emg gitu ya kalau bank yg punya negara selagu lagu gue ....,2026-03-02 18:37:45
neny auna,5,saya sangat terbantu dgn BRimo,2026-03-02 18:37:14
Andi Tamsil,5,perfect,2026-03-02 18:35:40
Juriana Ana,5,maaf sering nga bisa di buka..harus instal ulang baru bisa..,2026-03-02 18:34:52
Dhy Febriansyh,5,👍,2026-03-02 18:34:35
Boli Husen,5,sangat mudah menggunaka brimo,2026-03-02 18:33:37
Isma Dayanti,5,"sangat bagus pokoknya, dan gampang di gunakan, top dan keren sekali",2026-03-02 18:33:36
Sulhaji Grab,5,sdh banyak membantu transaksi,2026-03-02 18:33:21
jamaludin magola,5,pokoknya sngat membantu dan bagus semua serba bisa dan serba gampang makasi Brimo BANK BRI,2026-03-02 18:27:56
olle rockavanka,5,sangat cocok untuk saya,2026-03-02 18:27:04
Albert Franjaya,5,Mantap,2026-03-02 18:26:03
Muhamad Ghozali,3,ini kok ga bisa tf ke nomor dana kenapa ya,2026-03-02 18:24:54
lukma argantara,5,mantap,2026-03-02 18:18:56
Tugiran Roy,5,sangat bermanfaat dalam bertransaksi,2026-03-02 18:15:13
Rika Malang2025,5,sangat mempermudah proses para pelanggan setia BRI semoga jaya selalu 👏,2026-03-02 18:12:31
Lia Amalia,5,"Halo kak saya pengguna BRIMO.ini pertama kalinya saya tidak bisa mengakses akun saya karna ketika saya masuk ke aplikasi BRIMO hanya menampilkan warna biru tetapi setelah beberapa saat layar menjafi warna putih polos,saya sudah ke penagaturan aplikasi BRIMO dan sudah clear cache,dan sudah saya update aplikasinya,saya sudah mengirimkan email keluhan saya tapi belum ada respon mohon bantuan nya kak.",2026-03-02 18:07:47
boysaka goodgamer,5,Good,2026-03-02 18:07:39
Mang Ded,5,layanan oke,2026-03-02 18:02:37
taufik jekat,5,sangat membantu sekali,2026-03-02 18:00:03
Kunar Yosi,5,sangat memudahkan,2026-03-02 17:53:29
Syamsul Bahri,5,mantap,2026-03-02 17:52:56
martin airlen,5,Lumayan Bagus. cuma sy blm bisa kirim dari brimo le dana.,2026-03-02 17:52:42
Khennel Khen,5,sangat membantu,2026-03-02 17:52:03
Affi Yunus,2,"notifikasi uang masuk dan keluar itu lama bgt kenapa ya, belum lagi buka aplikasi nunggu 4-5 detik baru bisa masuk ke aplikasi tolong diperbaiki performa apknya biar gak merugikan nasabah.",2026-03-02 17:46:35
septiyandwi ningrum,5,sejauh ini good,2026-03-02 17:45:10
Mamo Azza,5,errorr terus,2026-03-02 17:41:16
Mendi Priyono,5,bahmgus,2026-03-02 17:40:37
Azhari aziz Siddiq (Parto),2,sekian kalinya brimo cuma muncul layar putih yg harus bikin saya kesulitan dalam transaksi. gimana dongg!,2026-03-02 17:39:41
Rici Alfauza,5,mantap,2026-03-02 17:38:29
Muhamad Rifan,5,dgn brimo semua serba mudah,2026-03-02 17:38:18
Gunawan Obos,5,mantep,2026-03-02 17:35:30
Susi Susanti,5,mau transfer dan cek saldo lebih mudah kalau punya aplikasi brimo,2026-03-02 17:34:00
Otniel Manullang,5,membantu banget,2026-03-02 17:33:15
muhammad taufiqi,5,cukup membantu,2026-03-02 17:30:31
Moh idza Nadhori,5,ok,2026-03-02 17:29:47
Ganto Leo,5,entut,2026-03-02 17:26:56
Yustina Kolo,5,terbaik,2026-03-02 17:19:11
Sar Manto,5,mudah digunakan,2026-03-02 17:10:11
Gajah Mada,5,Mudah Dan Menguntungkan,2026-03-02 17:06:57
Alwi Ikhwan14,3,"maaf,mau tanya kenapa brimo punya saya sekarang setiap login selalu minta verifikasi, entah itu pake password atau sidik jari selalu minta verifikasi masukan OTP ,NIK SMA Selfi dulu jadinya ribet, padahal password+pin udah benar... terimakasih",2026-03-02 17:05:35
Arwin Effendi,5,mantap,2026-03-02 17:02:48
Sopia Duri,2,"lama-lama aplikasi brimo kayak B2. susah kali buat login, padahal sudah di update. giliran mau login layar HP malah memutih seperti sedang eror. tolong lah bos di perbaiki lagi sistem nya.",2026-03-02 17:02:19
Yulinda Qori,4,mudah digunakan,2026-03-02 17:01:53
Khaerul Saleh,5,Sangat membantu didalam bertransaksi,2026-03-02 17:00:56
