user,rating,review,date,clean_review,tokens
Jahur Huri,5,mantap,2026-03-02 18:41:47,mantap,['mantap']
Ronal Rigen,5,sangat bagus sekali,2026-03-02 18:38:02,sangat bagus sekali,"['sangat', 'bagus', 'sekali']"
Desi Gusrini,1,paling buruk pelayanan .nelpon call center buat keluhan cuma ngabisin pulsa di angkat kaga.keadaan genting kita mana sempet laporan ke cabang bri .emg gitu ya kalau bank yg punya negara selagu lagu gue ....,2026-03-02 18:37:45,paling buruk pelayanan nelpon call center buat keluhan cuma ngabisin pulsa di angkat kagakeadaan genting kita mana sempet laporan ke cabang bri emg gitu ya kalau bank yg punya negara selagu lagu gue ,"['paling', 'buruk', 'pelayanan', 'nelpon', 'call', 'center', 'buat', 'keluhan', 'cuma', 'ngabisin', 'pulsa', 'di', 'angkat', 'kagakeadaan', 'genting', 'kita', 'mana', 'sempet', 'laporan', 'ke', 'cabang', 'bri', 'emg', 'gitu', 'ya', 'kalau', 'bank', 'yg', 'punya', 'negara', 'selagu', 'lagu', 'gue']"
neny auna,5,saya sangat terbantu dgn BRimo,2026-03-02 18:37:14,saya sangat terbantu dgn brimo,"['saya', 'sangat', 'terbantu', 'dgn', 'brimo']"
Andi Tamsil,5,perfect,2026-03-02 18:35:40,perfect,['perfect']
Juriana Ana,5,maaf sering nga bisa di buka..harus instal ulang baru bisa..,2026-03-02 18:34:52,maaf sering nga bisa di bukaharus instal ulang baru bisa,"['maaf', 'sering', 'nga', 'bisa', 'di', 'bukaharus', 'instal', 'ulang', 'baru', 'bisa']"
Dhy Febriansyh,5,👍,2026-03-02 18:34:35,,[]
Boli Husen,5,sangat mudah menggunaka brimo,2026-03-02 18:33:37,sangat mudah menggunaka brimo,"['sangat', 'mudah', 'menggunaka', 'brimo']"
Isma Dayanti,5,"sangat bagus pokoknya, dan gampang di gunakan, top dan keren sekali",2026-03-02 18:33:36,sangat bagus pokoknya dan gampang di gunakan top dan keren sekali,"['sangat', 'bagus', 'pokoknya', 'dan', 'gampang', 'di', 'gunakan', 'top', 'dan', 'keren', 'sekali']"
Sulhaji Grab,5,sdh banyak membantu transaksi,2026-03-02 18:33:21,sdh banyak membantu transaksi,"['sdh', 'banyak', 'membantu', 'transaksi']"
jamaludin magola,5,pokoknya sngat membantu dan bagus semua serba bisa dan serba gampang makasi Brimo BANK BRI,2026-03-02 18:27:56,pokoknya sngat membantu dan bagus semua serba bisa dan serba gampang makasi brimo bank bri,"['pokoknya', 'sngat', 'membantu', 'dan', 'bagus', 'semua', 'serba', 'bisa', 'dan', 'serba', 'gampang', 'makasi', 'brimo', 'bank', 'bri']"
